Name,Value,Category,Description
Phase Marg,62.13 °,System Information,Bode Plot Phase Margin
Cross Freq,16.77 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,66.45 dB,System Information,Gain at 1Hz
Gain Marg,-35.57 dB,System Information,Bode Plot Gain Margin
Vout,5.25 V,System Information,Operational Output Voltage
Cin IRMS,479.71 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,460.25 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,61.44 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,5.66 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,44.03%,System Information,Duty cycle
Efficiency,90.2%,System Information,Steady state efficiency
Frequency,1 MHz,System Information,Switching frequency
IC Tj,51.06 °C,IC,IC junction temperature
ICThetaJA,48.7 °C/W,IC,IC junction-to-ambient thermal resistance
L Ipp,212.83 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,105.38 mW,Inductor,Inductor power dissipation
IC Pd,227.18 mW,IC,IC power dissipation
Diode Pd,237.17 mW,Diode,Diode power dissipation
D1 Tj,73.2 °C,Diode,D1 junction temperature
Pout,5.25 W,System Information,Total output power
Iin Avg,465.62 mA,IC,Average input current
IC Ipk,1.11 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,2.11 mV,System Information,Peak-to-peak output ripple voltage
M Vds Act,38.89 mV,Mosfet,Voltage drop across the MosFET
M Irms,663.58 mA,Mosfet,MOSFET RMS ripple current
Total Pd,570.21 mW,Power,Total Power Dissipation
FootPrint,197 mm²,System Information,Total Foot Print Area of BOM components
Vin,12.5 V,System Information,Vin operating point
Iout,1 A,System Information,Iout operating point
Cin Pd,460.25 µW,Power,Input capacitor power dissipation
Cout Pd,5.66 µW,Power,Output capacitor power dissipation
L Pd,105.38 mW,Power,Inductor power dissipation
IC Pd,227.18 mW,Power,IC power dissipation
Diode Pd,237.17 mW,Power,Diode power dissipation
Vout Actual,5.28 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,5.27%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Total BOM,$1.64,System Information,Total BOM Cost
BOM Count,15 ,System Information,Total Design BOM count
