"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H2,H3,H4,H1";"MountingHole_3.5mm_Hammond_panel_screws";4;"MountingHole";;;
2;"M1";"NHD3_12-Reverse_Bezel";1;"NHD3.12-Mechanical_window";;;
3;"LTS1,LTS2";"Touchsensor_linear_slider-5ch_H_90x8mm";2;"Touchsensor_linear_5ch_H";;;
4;"M2";"Frontpanel_L_Powerbtn_Pushbtns_outer_cutouts";1;"Mech_cutout_SS_left_pwrbtn_and_speedbtns";;;
5;"C1,C3,C12,C13,C15,C14";"C_0402_1005Metric";6;"100n";;;
6;"C6,C7,C8,C9,C4,C10";"C_1206_3216Metric";6;"47nF_COG";;;
7;"C17,C2";"C_0402_1005Metric";2;"10u";;;
8;"R1";"R_0402_1005Metric";1;"10k";;;
9;"R2,R6,R9,R5,R3,R4,R7,R10,R13,R20";"R_0402_1005Metric";10;"1k";;;
10;"R8,R11";"R_0603_1608Metric";2;"1k";;;
11;"R12";"R_1206_3216Metric";1;"1k";;;
12;"M3";"Frontpanel_R_RotaryEnc_Pushbtns_outer_cutouts";1;"Mech_cutout_SS_right_rotary_and_speedbtns";;;
13;"J2";"FPC_14p_05mm-WE_687114182122";1;"FFC_conn_14p";;;
14;"R17,R16";"R_0402_1005Metric";2;"160k";;;
15;"R18,R19,R14";"R_0603_1608Metric";3;"0R";;;
16;"J1";"4pin_SWD_SMT_100mil";1;"Conn_01x04";;;
17;"Logo1";"MJ_10.3x12.7";1;"Logo_MJ";;;
18;"Logo2";"OSHW-Logo_5.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
19;"Logo3";"KiCad-Logo2_5mm_SilkScreen";1;"Logo_Kicad";;;
20;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32L052C8Tx";;;
21;"D1";"SX_0402_RGB-CA-06";1;"SX_0402_RGB-LED_CA";;;
22;"R15,R21";"R_0402_1005Metric";2;"20k";;;
